6,5106019,1371117
5,5103964,1373030
3,5106945,1373781
58,5109272,1382842
16,5115180,1379227
24,5112232,1375621
3,5107897,1372638
7,5109777,1373114
8,5108002,1369169
31,5106590,1361815
8,5106847,1366465
5,5104412,1369823
4,5103853,1366174
5,5102754,1370184
5,5101358,1370268
5,5101647,1374356
6,5102194,1377461
4,5101825,1380209
5,5099930,1378282
8,5099830,1381240
10,5099826,1385020
4,5103745,1379984
4,5102793,1382244
3,5105267,1376936
4,5104930,1379048
4,5105779,1385266
15,5102632,1384860
41,5104186,1390258
26,5111571,1363660
68,5113171,1391256
25,5117443,1381526
12,5113939,1385275
46,5115883,1367488
54,5118506,1373072
35,5109339,1397827
44,5129011,1352507
408,5128952,1371198
7,5130103,1326725
15,5128972,1331678
16,5131648,1324813
86,5125298,1330076
85,5139583,1345145
45,5128608,1342471
30,5136784,1322182
82,5137262,1330595
66,5120609,1330700
25,5113311,1356569
30,5116154,1348386
205,5114012,1337921
123,5109932,1330442
54,5118416,1355719
40,5099448,1365166
75,5102404,1351673
25,5098045,1373665
28,5095175,1374583
30,5094956,1366373
77,5097444,1352613
6,5093421,1355149
104,5086038,1362801
28,5081009,1358276
95,5086931,1375653
89,5077506,1372896
86,5089061,1354879
20,5075825,1364771
56,5076648,1383674
93,5094704,1395056
60,5094628,1384713
83,5090393,1422980
88,5084694,1396475
36,5088099,1390448
112,5088799,1409765
37,5085720,1384442
10,5096097,1400452
104,5104240,1406227
83,5103243,1422411
25,5098330,1400432
64,5098328,1411944
88,5094080,1426775
116,5112024,1421735
53,5119783,1401053
41,5114561,1403069
39,5107647,1433053
31,5118834,1422109
46,5111055,1407114
98,5128587,1409027
230,5127754,1421101
253,5129163,1390429
199,5142725,1388003
117,5152333,1402703
89,5150516,1373218
81,5159563,1397486
32,5148836,1383477
21,5139351,1370954
14,5150914,1388725
23,5155399,1394155
15,5145592,1402280
17,5154109,1389324
66,5118458,1442663
198,5117245,1458714
65,5116773,1431917
41,5109233,1440964
37,5104551,1442642
39,5113715,1441736
147,5127724,1453484
105,5129073,1432501
174,5109741,1466842
5,5097362,1460919
14,5100813,1459760
26,5109875,1452117
14,5106310,1451274
17,5099179,1465194
22,5103088,1454781
74,5100878,1475370
52,5104691,1482642
80,5089549,1480585
